Fecha Local,Hora Local,Fecha UTC,Hora UTC,Latitud,Longitud,Profundidad(Km),Magnitud,Escala,Lugar de Referencia
01-01-03,16:26:00,01-01-03,19:26:00,-34.71,-70.174,0,3.1,Mc,76 km al E de San Fernando
01-01-03,14:22:00,01-01-03,17:22:00,-35.112,-71.375,63.1,2.9,Mc,44 km al NE de Talca
01-01-03,14:02:00,01-01-03,17:02:00,-31.051,-71.31,64.4,2.9,Mc,33 km al NO de Combarbalá
01-01-03,13:25:00,01-01-03,16:25:00,-30.159,-70.141,5.4,3.3,Mc,57 km al E de Vicuña
01-01-03,12:54:00,01-01-03,15:54:00,-32.138,-71.753,11,3.6,Mc,60 km al NO de La Ligua
01-01-03,12:49:00,01-01-03,15:49:00,-32.331,-71.54,30.3,3.4,Mc,47 km al S de Los Vilos
01-01-03,07:23:00,01-01-03,10:23:00,-34.509,-72.185,27.7,3.5,Mc,45 km al NO de Vichuquén
01-01-03,06:07:00,01-01-03,09:07:00,-31.834,-70.446,121.2,2.7,Mc,50 km al E de Salamanca
01-01-03,05:25:00,01-01-03,08:25:00,-32.252,-71.682,12.3,3.5,Mc,48 km al NO de La Ligua
01-01-03,03:07:00,01-01-03,06:07:00,-32.252,-71.719,12.4,3.4,Mc,51 km al NO de La Ligua
01-01-03,01:35:00,01-01-03,04:35:00,-30.753,-71.419,40.7,3.5,Mc,27 km al SO de Ovalle
01-01-03,00:59:00,01-01-03,03:59:00,-30.419,-71.675,41.8,3.2,Mc,50 km al NO de Ovalle
02-01-03,05:24:00,02-01-03,08:24:00,-33.446,-70.634,84.4,2.1,Mc,27 km al S de Colina
02-01-03,04:43:00,02-01-03,07:43:00,-33.282,-70.201,81.8,2.6,Mc,42 km al N de San José de Maipo
02-01-03,03:08:00,02-01-03,06:08:00,-30.644,-71.74,9.1,4.1,Mc,51 km al NO de Punitaqui
03-01-03,16:44:00,03-01-03,19:44:00,-30.958,-71.499,73.9,3.2,Mc,48 km al SO de Ovalle
03-01-03,15:37:00,03-01-03,18:37:00,-34.426,-70.013,0.2,3.1,Mc,73 km al SE de Rancagua
03-01-03,15:27:00,03-01-03,18:27:00,-34.413,-69.991,7.7,3.3,Mc,74 km al E de Rancagua
03-01-03,15:23:00,03-01-03,18:23:00,-34.431,-69.965,2.3,3.3,Mc,77 km al SE de Rancagua
03-01-03,10:01:00,03-01-03,13:01:00,-30.015,-69.879,136.2,3.4,Mc,80 km al E de Vicuña
03-01-03,06:28:00,03-01-03,09:28:00,-33.688,-70.417,15,2.6,Mc,35 km al SE de Santiago
03-01-03,05:29:00,03-01-03,08:29:00,-30.579,-71.527,41.5,4.1,Mc,36 km al S de Tongoy
03-01-03,04:35:00,03-01-03,07:35:00,-29.998,-71.919,4.2,3.3,Mc,65 km al O de La Serena
03-01-03,03:28:00,03-01-03,06:28:00,-29.94,-71.936,34.3,4.0,Mc,66 km al O de La Serena
03-01-03,03:24:00,03-01-03,06:24:00,-34.007,-70.096,6.3,3.3,Mc,62 km al E de Rancagua
03-01-03,22:57:00,04-01-03,01:57:00,-37.616,-73.604,23.1,3.5,Ml,48 km al SO de Arauco
04-01-03,17:37:00,04-01-03,20:37:00,-35.064,-72.081,44.6,3.2,Mc,42 km al NE de Constitución
04-01-03,09:30:00,04-01-03,12:30:00,-30.844,-71.353,57,3.3,Mc,30 km al SO de Ovalle
04-01-03,09:01:00,04-01-03,12:01:00,-36.189,-71.231,18.4,3.7,Mc,50 km al SE de Linares
04-01-03,07:18:00,04-01-03,10:18:00,-34.568,-71.074,76.3,2.4,Mc,28 km al E de Santa Cruz
04-01-03,05:48:00,04-01-03,08:48:00,-31.367,-72.03,45.6,3.7,Mc,78 km al NO de Los Vilos
04-01-03,03:34:00,04-01-03,06:34:00,-35.465,-70.35,181.5,3.6,Mc,97 km al SE de Curicó
04-01-03,00:18:00,04-01-03,03:18:00,-31.016,-71.291,63.9,3.1,Mc,33 km al NO de Combarbalá
05-01-03,16:00:00,05-01-03,19:00:00,-32.86,-69.945,102.4,3.5,Mc,64 km al NE de Farellones
05-01-03,11:14:00,05-01-03,14:14:00,-31.157,-69.35,144,3.2,Mc,90 km al NO de San Juan
05-01-03,08:21:00,05-01-03,11:21:00,-30.843,-71.383,60.6,3.4,Mc,32 km al SO de Ovalle
05-01-03,00:46:00,05-01-03,03:46:00,-34.841,-70.973,107.5,3.7,Mc,29 km al NE de Curicó
