Fecha Local,Hora Local,Fecha UTC,Hora UTC,Latitud,Longitud,Profundidad(Km),Magnitud,Escala,Lugar de Referencia
01-01-04,20:39:00,01-01-04,23:39:00,17.517,-101.101,30,5.6,Mb,4406 km al NO de Pisco
01-01-04,19:48:00,01-01-04,22:48:00,-34.747,-72.449,15,3.2,Mc,57 km al SO de Pichilemu
01-01-04,15:46:00,01-01-04,18:46:00,-32.361,-71.578,57.9,2.4,Mc,50 km al S de Los Vilos
01-01-04,14:52:00,01-01-04,17:52:00,-33.941,-70.359,116.8,2.2,Mc,43 km al NE de Rancagua
01-01-04,13:36:00,01-01-04,16:36:00,-30.788,-71.761,6.1,3.1,Mc,57 km al O de Ovalle
01-01-04,08:10:00,01-01-04,11:10:00,-33.143,-70.539,93.2,2.8,Mc,31 km al NO de Farellones
01-01-04,07:02:00,01-01-04,10:02:00,-32.772,-71.699,21.9,2.8,Mc,44 km al O de Quillota 
01-01-04,04:26:00,01-01-04,07:26:00,-31.683,-71.958,2.3,3.4,Mc,57 km al SO de Canela Baja
02-01-04,20:46:00,02-01-04,23:46:00,-31.484,-70.201,150,2.7,Mc,80 km al NE de Salamanca
02-01-04,15:59:00,02-01-04,18:59:00,-32.696,-72.855,36.2,3.6,Mc,152 km al NO de Casablanca
02-01-04,13:47:00,02-01-04,16:47:00,-33.176,-70.245,7.5,3.3,Mc,40 km al E de Colina
02-01-04,10:22:00,02-01-04,13:22:00,-34.724,-70.716,105.4,3.0,Mc,36 km al NO de Termas del Flaco
02-01-04,06:46:00,02-01-04,09:46:00,-34.041,-70.715,93.7,2.2,Mc,56 km al SO de San José de Maipo
02-01-04,05:53:00,02-01-04,08:53:00,-30.45,-69.448,5,3.5,Mc,130 km al E de Vicuña
02-01-04,05:36:00,02-01-04,08:36:00,-31.777,-71.674,55.8,2.3,Mc,47 km al SO de Canela Baja
02-01-04,05:09:00,02-01-04,08:09:00,-31.348,-69.587,164.1,2.8,Mc,104 km al O de San Juan
02-01-04,03:22:00,02-01-04,06:22:00,-23.193,-68.876,150,4.6,Ml,76 km al SO de San Pedro de Atacama
03-01-04,19:36:00,03-01-04,22:36:00,-32.253,-70.608,101.1,2.6,Mc,48 km al S de Mina Los Pelambres
03-01-04,14:55:00,03-01-04,17:55:00,-33.148,-70.332,0,3.3,Mc,33 km al E de Colina
03-01-04,07:04:00,03-01-04,10:04:00,-31.84,-69.936,147.5,3.5,Mc,98 km al E de Salamanca
03-01-04,06:18:00,03-01-04,09:18:00,-32.715,-71.768,15,2.9,Mc,52 km al O de Quillota 
03-01-04,04:23:00,03-01-04,07:23:00,-25.099,-69.051,31.6,4.7,Ml,140 km al NE de El Salvador
04-01-04,16:58:00,04-01-04,19:58:00,-32.663,-72.337,30.4,4.3,Ml,105 km al O de Quillota 
04-01-04,15:45:00,04-01-04,18:45:00,-33.641,-70.101,3.7,2.9,Mc,38 km al SE de Farellones
04-01-04,11:51:00,04-01-04,14:51:00,-32.054,-71.565,56,3.0,Mc,54 km al NO de La Ligua
04-01-04,09:04:00,04-01-04,12:04:00,-34.758,-70.247,1.3,2.7,Mc,71 km al E de San Fernando
04-01-04,08:28:00,04-01-04,11:28:00,-32.016,-70.253,113.2,4.2,Mc,69 km al E de Petorca
04-01-04,06:56:00,04-01-04,09:56:00,-33.382,-70.953,72.6,2.2,Mc,32 km al SO de Colina
04-01-04,06:00:00,04-01-04,09:00:00,-34.243,-70.105,3.4,1.7,Ml,71 km al S de San José de Maipo
04-01-04,05:58:00,04-01-04,08:58:00,-34.264,-70.068,3,2.5,Mc,74 km al S de San José de Maipo
04-01-04,05:48:00,04-01-04,08:48:00,-34.275,-70.053,5.9,3.1,Mc,76 km al S de San José de Maipo
04-01-04,03:01:00,04-01-04,06:01:00,-30.688,-71.981,0,3.3,Mc,71 km al O de Punitaqui
04-01-04,01:31:00,04-01-04,04:31:00,-32.515,-71.458,63.1,3.7,Mc,45 km al NO de Quillota 
03-01-04,23:51:00,04-01-04,02:51:00,-33.898,-70.997,74.4,1.8,Mc,38 km al NO de Rancagua
03-01-04,22:36:00,04-01-04,01:36:00,-31.885,-70.937,71.4,2.7,Mc,34 km al O de Mina Los Pelambres
05-01-04,14:38:00,05-01-04,17:38:00,-35.363,-70.17,172,2.7,Mc,106 km al SE de Curicó
05-01-04,14:32:00,05-01-04,17:32:00,-30.853,-71.568,23,3.4,Mc,45 km al SO de Ovalle
05-01-04,13:59:00,05-01-04,16:59:00,-34.252,-70.059,3.3,2.5,Mc,73 km al S de San José de Maipo
05-01-04,13:30:00,05-01-04,16:30:00,-32.736,-70.393,100.7,2.6,Mc,58 km al NE de Colina
05-01-04,10:58:00,05-01-04,13:58:00,-33.904,-71.534,41,2.9,Mc,37 km al S de San Antonio
05-01-04,08:51:00,05-01-04,11:51:00,-32.386,-72.006,8.2,2.2,Ml,73 km al O de La Ligua
05-01-04,05:22:00,05-01-04,08:22:00,-34.257,-70.07,2.2,2.3,Mc,73 km al S de San José de Maipo
06-01-04,18:27:00,06-01-04,21:27:00,-33.369,-70.414,98.5,3.0,Mc,23 km al E de Santiago
06-01-04,13:46:00,06-01-04,16:46:00,-33.162,-70.25,7.6,3.4,Mc,40 km al E de Colina
06-01-04,13:41:00,06-01-04,16:41:00,-33.152,-70.248,6.2,3.5,Mc,40 km al E de Colina
06-01-04,12:46:00,06-01-04,15:46:00,-35.566,-71.496,90,2.8,Mc,32 km al N de Linares
06-01-04,06:21:00,06-01-04,09:21:00,-30.962,-71.714,18.8,3.8,Mc,54 km al NO de Canela Baja
07-01-04,11:51:00,07-01-04,14:51:00,-24.386,-67.32,164,4.1,Mc,177 km al E de Mina La Escondida.
07-01-04,11:15:00,07-01-04,14:15:00,-29.852,-71.617,15,3.6,Mc,46 km al N de Tongoy
07-01-04,09:50:00,07-01-04,12:50:00,-22.68,-69.136,90,4.0,Mc,31 km al SO de Calama
07-01-04,07:42:00,07-01-04,10:42:00,8.385,-82.743,32,5.2,Mb,2548 km al N de Pisco
07-01-04,02:10:00,07-01-04,05:10:00,-34.587,-70.757,99.6,2.6,Mc,47 km al S de Rancagua
07-01-04,01:48:00,07-01-04,04:48:00,-33.423,-70.758,81.1,2.2,Mc,25 km al S de Colina
07-01-04,01:16:00,07-01-04,04:16:00,-32.625,-71.932,36.8,3.2,Mc,69 km al O de La Ligua
08-01-04,19:33:00,08-01-04,22:33:00,-31.72,-70.597,1.8,2.2,Ml,36 km al E de Salamanca
